k-point #     1:    0.000000    0.000000    0.000000    0.015625
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.86125   -3.66015   -2.47956    0.35377   -1.72297   -0.75660   -0.55550    0.87583
   6    -3.10403   -3.86057   -3.64943   -2.48053    0.36134   -1.72399   -0.75654   -0.54540    0.86720
   7    -3.10403   -3.86057   -3.65031   -2.48053    0.36104   -1.72399   -0.75654   -0.54628    0.86875
   8    -3.10403   -3.86057   -3.65027   -2.48053    0.36096   -1.72399   -0.75654   -0.54624    0.86850
   9    -0.24893   -0.50151   -0.46962   -0.70024    0.22749   -0.44767   -0.25258   -0.22069    0.71753
  10     0.19173    0.13755   -0.03139   -0.54312    0.02775   -0.48894   -0.05418   -0.22312    0.77301
  11     0.19173    0.13755   -0.03144   -0.54312    0.02769   -0.48894   -0.05418   -0.22317    0.77295
  12     0.19173    0.13755   -0.03143   -0.54312    0.02770   -0.48894   -0.05418   -0.22316    0.77289
  13     0.28440    0.45295    0.08701   -0.25690   -0.16165   -0.42545    0.16855   -0.19739    0.76784
  14     0.28440    0.45295    0.08704   -0.25690   -0.16162   -0.42545    0.16855   -0.19736    0.76796
  15     0.28440    0.45295    0.08703   -0.25690   -0.16162   -0.42545    0.16855   -0.19737    0.76795
  16     0.31353    0.50795    0.11706   -0.35036   -0.18624   -0.54479    0.19442   -0.19647    0.75910
  17     0.47465    0.68995    0.27640   -0.16927   -0.20935   -0.38458    0.21531   -0.19824    0.74648
  18     0.47465    0.68995    0.27643   -0.16927   -0.20932   -0.38458    0.21531   -0.19821    0.74693
  19     0.47518    0.67700    0.27085   -0.13885   -0.20391   -0.34067    0.20182   -0.20433    0.78425
  20     0.59981    0.83158    0.39431   -0.10203   -0.23549   -0.33380    0.23177   -0.20551    0.75729
 
k-point #     2:    0.000000    0.000000    0.250000    0.125000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10462   -3.86125   -3.65883   -2.47963    0.35297   -1.72300   -0.75663   -0.55420    0.87083
   6    -3.10406   -3.86059   -3.64984   -2.48049    0.35935   -1.72395   -0.75653   -0.54578    0.86382
   7    -3.10400   -3.86054   -3.65082   -2.48057    0.35788   -1.72404   -0.75653   -0.54681    0.86322
   8    -3.10400   -3.86054   -3.65032   -2.48057    0.35799   -1.72404   -0.75653   -0.54632    0.86221
   9    -0.21942   -0.45957   -0.43660   -0.69288    0.21894   -0.45273   -0.24015   -0.21718    0.68337
  10     0.04648   -0.06027   -0.17533   -0.56955    0.08039   -0.46280   -0.10674   -0.22181    0.72570
  11     0.16360    0.10244   -0.05906   -0.53950    0.03515   -0.47834   -0.06116   -0.22266    0.76772
  12     0.16360    0.10244   -0.05905   -0.53950    0.03515   -0.47834   -0.06116   -0.22265    0.76758
  13     0.26382    0.43091    0.06505   -0.28523   -0.16204   -0.45232    0.16709   -0.19877    0.77585
  14     0.31900    0.49772    0.12124   -0.24567   -0.17225   -0.42439    0.17872   -0.19777    0.76106
  15     0.31900    0.49772    0.12122   -0.24567   -0.17227   -0.42439    0.17872   -0.19778    0.76101
  16     0.44324    0.65977    0.24409   -0.27262   -0.21180   -0.48915    0.21653   -0.19915    0.74775
  17     0.45415    0.66355    0.25430   -0.16445   -0.20566   -0.37385    0.20940   -0.19985    0.75861
  18     0.45415    0.66355    0.25427   -0.16445   -0.20570   -0.37385    0.20940   -0.19988    0.75817
  19     0.51475    0.72718    0.31057   -0.12116   -0.21436   -0.33359    0.21243   -0.20417    0.77337
  20     0.62059    0.85463    0.41718   -0.14502   -0.23500   -0.37906    0.23404   -0.20341    0.75352
 
k-point #     3:    0.000000    0.000000    0.500000    0.062500
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10459   -3.86125   -3.65440   -2.47971    0.35683   -1.72304   -0.75666   -0.54981    0.86817
   6    -3.10409   -3.86061   -3.64413   -2.48043    0.36351   -1.72391   -0.75652   -0.54004    0.85838
   7    -3.10398   -3.86051   -3.64736   -2.48061    0.36090   -1.72408   -0.75653   -0.54338    0.86116
   8    -3.10398   -3.86051   -3.64942   -2.48061    0.35903   -1.72408   -0.75653   -0.54544    0.86227
   9    -0.16262   -0.37870   -0.38179   -0.68790    0.19230   -0.47182   -0.21608   -0.21917    0.69308
  10    -0.06604   -0.23046   -0.28494   -0.60031    0.14134   -0.43589   -0.16442   -0.21890    0.70271
  11     0.14748    0.07621   -0.07605   -0.54935    0.04402   -0.47807   -0.07127   -0.22353    0.76467
  12     0.14748    0.07621   -0.07607   -0.54935    0.04398   -0.47807   -0.07127   -0.22356    0.76464
  13     0.24560    0.40782    0.04622   -0.29167   -0.15798   -0.45389    0.16222   -0.19938    0.77910
  14     0.31230    0.49063    0.11503   -0.21667   -0.17126   -0.39500    0.17833   -0.19727    0.76701
  15     0.31230    0.49063    0.11505   -0.21667   -0.17124   -0.39500    0.17833   -0.19725    0.76706
  16     0.46812    0.67697    0.26373   -0.10813   -0.21106   -0.31698    0.20885   -0.20439    0.76903
  17     0.57809    0.82011    0.37454   -0.15280   -0.24318   -0.39482    0.24202   -0.20355    0.74265
  18     0.57809    0.82011    0.37449   -0.15280   -0.24325   -0.39482    0.24202   -0.20360    0.74217
  19     0.60400    0.84473    0.40246   -0.20598   -0.23919   -0.44672    0.24074   -0.20154    0.74295
  20     0.60622    0.85665    0.40452   -0.17382   -0.24911   -0.42424    0.25043   -0.20171    0.74318
 
k-point #     4:    0.000000    0.250000    0.250000    0.093750
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10456   -3.86116   -3.65670   -2.47972    0.35445   -1.72312   -0.75660   -0.55214    0.86897
   6    -3.10412   -3.86068   -3.65611   -2.48040    0.35442   -1.72384   -0.75656   -0.55199    0.86861
   7    -3.10398   -3.86050   -3.64669   -2.48061    0.36087   -1.72409   -0.75652   -0.54271    0.85940
   8    -3.10398   -3.86050   -3.64650   -2.48061    0.36104   -1.72409   -0.75652   -0.54252    0.85929
   9    -0.20902   -0.44461   -0.42610   -0.68953    0.21431   -0.45395   -0.23559   -0.21708    0.67636
  10     0.06231   -0.03881   -0.16047   -0.59801    0.07355   -0.49689   -0.10112   -0.22278    0.72871
  11     0.12162    0.04526   -0.10101   -0.53537    0.05004   -0.45901   -0.07636   -0.22263    0.75770
  12     0.12162    0.04526   -0.10105   -0.53537    0.04998   -0.45901   -0.07636   -0.22268    0.75775
  13     0.22992    0.38234    0.03035   -0.24043   -0.14844   -0.39286    0.15243   -0.19956    0.78364
  14     0.30315    0.47955    0.10467   -0.19963   -0.17097   -0.37603    0.17640   -0.19849    0.77314
  15     0.40216    0.60580    0.20301   -0.25281   -0.19890   -0.45646    0.20365   -0.19915    0.74528
  16     0.40216    0.60580    0.20304   -0.25281   -0.19885   -0.45646    0.20365   -0.19912    0.74544
  17     0.48617    0.71262    0.28815   -0.27836   -0.22023   -0.50481    0.22645   -0.19802    0.74991
  18     0.51900    0.74526    0.31967   -0.15977   -0.22182   -0.38603    0.22626   -0.19933    0.75535
  19     0.60468    0.83418    0.40163   -0.14966   -0.22999   -0.37917    0.22951   -0.20305    0.75731
  20     0.66563    0.91312    0.45881   -0.10580   -0.25304   -0.35329    0.24749   -0.20682    0.74372
 
k-point #     5:    0.000000    0.250000    0.500000    0.375000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10448   -3.86109   -3.65568   -2.47986    0.35449   -1.72325   -0.75661   -0.55121    0.86670
   6    -3.10420   -3.86077   -3.64897   -2.48027    0.35953   -1.72371   -0.75656   -0.54476    0.86158
   7    -3.10396   -3.86048   -3.64492   -2.48065    0.36201   -1.72413   -0.75652   -0.54097    0.85747
   8    -3.10394   -3.86046   -3.64354   -2.48067    0.36325   -1.72416   -0.75651   -0.53960    0.85671
   9    -0.14853   -0.35759   -0.36761   -0.67773    0.18529   -0.46868   -0.20905   -0.21908    0.68981
  10    -0.04355   -0.19977   -0.26429   -0.62531    0.13075   -0.46909   -0.15622   -0.22074    0.70900
  11     0.06025   -0.03336   -0.16104   -0.52781    0.06842   -0.43420   -0.09361   -0.22129    0.73849
  12     0.11006    0.02637   -0.11315   -0.54296    0.05645   -0.45927   -0.08369   -0.22321    0.75319
  13     0.24393    0.40228    0.04463   -0.22377   -0.15404   -0.38212    0.15835   -0.19930    0.78412
  14     0.35210    0.53592    0.15165   -0.21473   -0.18088   -0.39855    0.18382   -0.20045    0.76075
  15     0.40103    0.60657    0.20201   -0.25782   -0.20063   -0.46336    0.20554   -0.19902    0.74765
  16     0.40756    0.61350    0.20869   -0.21499   -0.20084   -0.42093    0.20593   -0.19887    0.74948
  17     0.56343    0.80735    0.36132   -0.18283   -0.24314   -0.42675    0.24392   -0.20211    0.73821
  18     0.57727    0.82056    0.37444   -0.16452   -0.24348   -0.40781    0.24330   -0.20282    0.74205
  19     0.63711    0.89380    0.43482   -0.16389   -0.25616   -0.42058    0.25669   -0.20229    0.74243
  20     0.65512    0.90616    0.45256   -0.17615   -0.25087   -0.42718    0.25103   -0.20257    0.74088
 
k-point #     6:    0.000000    0.250000    0.750000    0.187500
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10453   -3.86115   -3.65709   -2.47978    0.35303   -1.72316   -0.75662   -0.55256    0.86689
   6    -3.10415   -3.86070   -3.64856   -2.48035    0.35986   -1.72380   -0.75655   -0.54440    0.86143
   7    -3.10398   -3.86051   -3.64577   -2.48061    0.36132   -1.72408   -0.75653   -0.54179    0.85805
   8    -3.10395   -3.86046   -3.64400   -2.48066    0.36280   -1.72415   -0.75651   -0.54005    0.85688
   9    -0.17346   -0.39365   -0.39177   -0.68266    0.19738   -0.46246   -0.22019   -0.21831    0.68501
  10    -0.01019   -0.14997   -0.23166   -0.61736    0.11335   -0.47758   -0.13978   -0.22147    0.71087
  11     0.05196   -0.04487   -0.16895   -0.52107    0.07208   -0.42424   -0.09683   -0.22091    0.73595
  12     0.14260    0.07341   -0.08040   -0.54153    0.04258   -0.47234   -0.06919   -0.22300    0.76355
  13     0.27884    0.44927    0.08070   -0.23437   -0.16457   -0.40480    0.17043   -0.19814    0.77531
  14     0.36623    0.56661    0.16856   -0.23017   -0.19366   -0.43055    0.20038   -0.19767    0.74631
  15     0.37780    0.56183    0.17607   -0.25028   -0.18277   -0.43431    0.18403   -0.20173    0.75896
  16     0.41471    0.62713    0.21575   -0.23160   -0.20743   -0.44402    0.21242   -0.19895    0.74806
  17     0.42625    0.62425    0.22565   -0.16942   -0.19528   -0.36743    0.19801   -0.20060    0.76419
  18     0.54299    0.78663    0.34154   -0.18877   -0.24196   -0.43241    0.24364   -0.20145    0.73669
  19     0.65032    0.88842    0.44651   -0.13005   -0.23960   -0.36815    0.23810   -0.20381    0.75017
  20     0.67494    0.94347    0.47315   -0.19371   -0.26730   -0.46224    0.26853   -0.20179    0.73227
 
k-point #     7:    0.000000    0.500000    0.500000    0.046875
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10434   -3.86093   -3.64923   -2.48007    0.36009   -1.72348   -0.75659   -0.54489    0.86306
   6    -3.10434   -3.86093   -3.65017   -2.48007    0.35946   -1.72348   -0.75659   -0.54583    0.86405
   7    -3.10394   -3.86045   -3.64432   -2.48068    0.36268   -1.72417   -0.75651   -0.54038    0.85745
   8    -3.10394   -3.86045   -3.64442   -2.48068    0.36269   -1.72417   -0.75651   -0.54048    0.85775
   9    -0.09606   -0.27986   -0.31620   -0.65749    0.15890   -0.47368   -0.18380   -0.22014    0.70082
  10    -0.09606   -0.27986   -0.31622   -0.65749    0.15888   -0.47368   -0.18380   -0.22016    0.70126
  11     0.08612   -0.00944   -0.13732   -0.54828    0.06765   -0.45272   -0.09555   -0.22344    0.74369
  12     0.08612   -0.00944   -0.13726   -0.54828    0.06772   -0.45272   -0.09555   -0.22338    0.74343
  13     0.21365    0.36389    0.01367   -0.21891   -0.14681   -0.36915    0.15024   -0.19998    0.78923
  14     0.21365    0.36389    0.01365   -0.21891   -0.14683   -0.36915    0.15024   -0.19999    0.78939
  15     0.56149    0.82431    0.36126   -0.22469   -0.25941   -0.48751    0.26282   -0.20023    0.71976
  16     0.56149    0.82431    0.36126   -0.22469   -0.25942   -0.48751    0.26282   -0.20024    0.72001
  17     0.59351    0.83493    0.38969   -0.17117   -0.24295   -0.41260    0.24142   -0.20382    0.74541
  18     0.59351    0.83493    0.38971   -0.17117   -0.24291   -0.41260    0.24142   -0.20380    0.74604
  19     0.65079    0.90364    0.44819   -0.13830   -0.25274   -0.39116    0.25286   -0.20260    0.74896
  20     0.65079    0.90364    0.44819   -0.13830   -0.25273   -0.39116    0.25286   -0.20260    0.74857
 
k-point #     8:    0.250000    0.500000    0.750000    0.093750
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10434   -3.86093   -3.65113   -2.48007    0.35770   -1.72348   -0.75659   -0.54679    0.86266
   6    -3.10434   -3.86093   -3.65175   -2.48007    0.35719   -1.72348   -0.75659   -0.54741    0.86309
   7    -3.10394   -3.86045   -3.64301   -2.48068    0.36351   -1.72417   -0.75651   -0.53907    0.85595
   8    -3.10394   -3.86045   -3.64322   -2.48068    0.36338   -1.72417   -0.75651   -0.53928    0.85619
   9    -0.08982   -0.27147   -0.31034   -0.66280    0.15629   -0.48116   -0.18164   -0.22052    0.70316
  10    -0.08982   -0.27147   -0.31042   -0.66280    0.15615   -0.48116   -0.18164   -0.22060    0.70262
  11     0.04819   -0.05032   -0.17280   -0.51723    0.07362   -0.41871   -0.09852   -0.22099    0.73522
  12     0.04819   -0.05032   -0.17283   -0.51723    0.07358   -0.41871   -0.09852   -0.22102    0.73535
  13     0.34533    0.52173    0.14386   -0.21569   -0.17481   -0.39210    0.17641   -0.20147    0.76371
  14     0.34533    0.52173    0.14390   -0.21569   -0.17476   -0.39210    0.17641   -0.20143    0.76410
  15     0.37357    0.57650    0.17544   -0.23430   -0.19683   -0.43722    0.20292   -0.19813    0.74837
  16     0.37357    0.57650    0.17546   -0.23430   -0.19682   -0.43722    0.20292   -0.19812    0.74841
  17     0.57884    0.83198    0.37712   -0.20257   -0.25182   -0.45571    0.25314   -0.20172    0.73255
  18     0.57884    0.83198    0.37710   -0.20257   -0.25185   -0.45571    0.25314   -0.20174    0.73229
  19     0.66881    0.93108    0.46697   -0.18551   -0.26112   -0.44778    0.26227   -0.20184    0.73692
  20     0.66881    0.93108    0.46695   -0.18551   -0.26115   -0.44778    0.26227   -0.20186    0.73694
 
