k-point #     1:    0.000000    0.000000    0.000000    0.125000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.83149   -3.61044   -2.44980    0.36571   -1.72297   -0.72684   -0.50578    0.83931
   6    -3.10403   -3.83081   -3.62230   -2.45078    0.35679   -1.72399   -0.72679   -0.51828    0.85294
   7    -3.10403   -3.83081   -3.62672   -2.45078    0.35413   -1.72399   -0.72679   -0.52269    0.85871
   8    -3.10403   -3.83081   -3.62725   -2.45078    0.35383   -1.72399   -0.72679   -0.52322    0.85943
   9    -0.24893   -0.46398   -0.46454   -0.66272    0.19726   -0.44767   -0.21505   -0.21561    0.72621
  10     0.19173    0.11603   -0.02688   -0.56464    0.05566   -0.48894   -0.07570   -0.21860    0.79418
  11     0.19173    0.11603   -0.02708   -0.56464    0.05536   -0.48894   -0.07570   -0.21881    0.79266
  12     0.19173    0.11603   -0.02722   -0.56464    0.05520   -0.48894   -0.07570   -0.21895    0.79342
  13     0.28440    0.47950    0.09853   -0.23035   -0.17371   -0.42545    0.19510   -0.18587    0.78639
  14     0.28440    0.47950    0.09860   -0.23035   -0.17363   -0.42545    0.19510   -0.18580    0.78652
  15     0.28440    0.47950    0.09805   -0.23035   -0.17427   -0.42545    0.19510   -0.18635    0.78441
  16     0.31353    0.53710    0.12615   -0.32122   -0.20360   -0.54479    0.22357   -0.18739    0.76643
  17     0.47465    0.69464    0.29028   -0.16458   -0.19718   -0.38458    0.22000   -0.18437    0.80273
  18     0.47465    0.69464    0.29014   -0.16458   -0.19734   -0.38458    0.22000   -0.18451    0.80224
  19     0.47518    0.68902    0.28854   -0.12683   -0.19472   -0.34067    0.21384   -0.18664    0.83936
  20     0.59981    0.84151    0.40946   -0.09210   -0.22616   -0.33380    0.24169   -0.19035    0.79414
 
k-point #     2:    0.000000    0.000000    0.500000    0.500000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10459   -3.83151   -3.60611   -2.44997    0.36785   -1.72304   -0.72693   -0.50152    0.83223
   6    -3.10409   -3.83084   -3.58902   -2.45066    0.37753   -1.72391   -0.72675   -0.48493    0.80820
   7    -3.10398   -3.83075   -3.61356   -2.45085    0.36196   -1.72408   -0.72677   -0.50957    0.84123
   8    -3.10398   -3.83075   -3.62594   -2.45085    0.35477   -1.72408   -0.72677   -0.52196    0.85827
   9    -0.16262   -0.34606   -0.37984   -0.65527    0.16338   -0.47182   -0.18344   -0.21722    0.72439
  10    -0.06604   -0.19041   -0.28250   -0.56026    0.10358   -0.43589   -0.12437   -0.21646    0.66268
  11     0.14748    0.06825   -0.06903   -0.55731    0.06163   -0.47807   -0.07923   -0.21651    0.78536
  12     0.14748    0.06825   -0.06899   -0.55731    0.06168   -0.47807   -0.07923   -0.21647    0.78534
  13     0.24560    0.43732    0.05802   -0.26217   -0.17277   -0.45389    0.19173   -0.18758    0.79706
  14     0.31230    0.51085    0.12625   -0.19645   -0.17761   -0.39500    0.19855   -0.18604    0.79478
  15     0.31230    0.51085    0.12636   -0.19645   -0.17765   -0.39500    0.19855   -0.18594    0.80130
  16     0.46812    0.69027    0.28085   -0.09483   -0.20340   -0.31698    0.22215   -0.18727    0.82221
  17     0.57809    0.81665    0.39092   -0.15626   -0.21910   -0.39482    0.23856   -0.18717    0.79763
  18     0.57809    0.81665    0.39207   -0.15626   -0.21811   -0.39482    0.23856   -0.18602    0.81512
  19     0.60400    0.84067    0.41613   -0.21004   -0.21834   -0.44672    0.23667   -0.18786    0.80848
  20     0.60622    0.85537    0.41931   -0.17510   -0.22850   -0.42424    0.24915   -0.18692    0.76376
 
k-point #     3:    0.000000    0.500000    0.500000    0.375000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10434   -3.83118   -3.60319   -2.45031    0.36940   -1.72348   -0.72684   -0.49885    0.82858
   6    -3.10434   -3.83118   -3.60116   -2.45031    0.37104   -1.72348   -0.72684   -0.49682    0.82671
   7    -3.10394   -3.83068   -3.61452   -2.45091    0.36108   -1.72417   -0.72674   -0.51059    0.84205
   8    -3.10394   -3.83068   -3.69359   -2.45091    0.32120   -1.72417   -0.72674   -0.58966    0.95421
   9    -0.09606   -0.24848   -0.31608   -0.62610    0.12880   -0.47368   -0.15242   -0.22003    0.73420
  10    -0.09606   -0.24848   -0.31557   -0.62610    0.12953   -0.47368   -0.15242   -0.21951    0.73495
  11     0.08612   -0.00070   -0.12788   -0.53955    0.07231   -0.45272   -0.08682   -0.21400    0.77949
  12     0.08612   -0.00070   -0.12755   -0.53955    0.07266   -0.45272   -0.08682   -0.21366    0.77499
  13     0.21365    0.39650    0.02766   -0.18630   -0.16224   -0.36915    0.18285   -0.18599    0.81026
  14     0.21365    0.39650    0.02764   -0.18630   -0.16229   -0.36915    0.18285   -0.18601    0.81133
  15     0.56149    0.82369    0.37880   -0.22531   -0.23690   -0.48751    0.26220   -0.18270    0.79030
  16     0.56149    0.82369    0.37846   -0.22531   -0.23727   -0.48751    0.26220   -0.18303    0.78850
  17     0.59351    0.82532    0.40337   -0.18079   -0.21614   -0.41260    0.23181   -0.19014    0.80071
  18     0.59351    0.82532    0.40344   -0.18079   -0.21610   -0.41260    0.23181   -0.19007    0.80291
  19     0.65079    0.90149    0.46249   -0.14046   -0.23228   -0.39116    0.25070   -0.18830    0.78106
  20     0.65079    0.90149    0.46179   -0.14046   -0.23311   -0.39116    0.25070   -0.18900    0.77800
 
