k-point #     1:    0.000000    0.000000    0.000000    0.125000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.83149   -3.61304   -2.44980    0.35086   -1.72297   -0.72684   -0.50839    0.81309
   6    -3.10403   -3.83081   -3.86673   -2.45078    0.26610   -1.72399   -0.72679   -0.76270    1.21561
   7    -3.10403   -3.83081   -3.75038   -2.45078    0.29091   -1.72399   -0.72679   -0.64635    1.01785
   8    -3.10403   -3.83081   -5.20141   -2.45078    0.21866   -1.72399   -0.72679   -2.09738    3.72878
   9    -0.24893   -0.46398   -0.46596   -0.66272    0.19519   -0.44767   -0.21505   -0.21703    0.72204
  10     0.19173    0.11603   -0.02987   -0.56464    0.05189   -0.48894   -0.07570   -0.22160    0.79418
  11     0.19173    0.11603   -0.03022   -0.56464    0.05141   -0.48894   -0.07570   -0.22195    0.79296
  12     0.19173    0.11603   -0.03021   -0.56464    0.05142   -0.48894   -0.07570   -0.22193    0.79295
  13     0.28440    0.47950    0.09597   -0.23035   -0.17693   -0.42545    0.19510   -0.18842    0.78493
  14     0.28440    0.47950    0.09613   -0.23035   -0.17674   -0.42545    0.19510   -0.18827    0.78555
  15     0.28440    0.47950    0.09615   -0.23035   -0.17674   -0.42545    0.19510   -0.18825    0.78644
  16     0.31353    0.53710    0.12179   -0.32122   -0.20915   -0.54479    0.22357   -0.19174    0.75879
  17     0.47465    0.69464    0.28866   -0.16458   -0.19917   -0.38458    0.22000   -0.18599    0.80188
  18     0.47465    0.69464    0.28852   -0.16458   -0.19931   -0.38458    0.22000   -0.18612    0.80076
  19     0.47518    0.68902    0.28692   -0.12683   -0.19655   -0.34067    0.21384   -0.18825    0.83447
  20     0.59981    0.84151    0.40830   -0.09210   -0.22802   -0.33380    0.24169   -0.19152    0.81674
 
k-point #     2:    0.000000    0.000000    0.500000    0.500000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10459   -3.83151   -3.62432   -2.44997    0.34304   -1.72304   -0.72693   -0.51973    0.82589
   6    -3.10409   -3.83084   -3.61931   -2.45066    0.34540   -1.72391   -0.72675   -0.51522    0.81954
   7    -3.10398   -3.83075   -3.65645   -2.45085    0.32551   -1.72408   -0.72677   -0.55247    0.87172
   8    -3.10398   -3.83075   -3.66466   -2.45085    0.32134   -1.72408   -0.72677   -0.56068    0.88299
   9    -0.16262   -0.34606   -0.38218   -0.65527    0.16003   -0.47182   -0.18344   -0.21956    0.72060
  10    -0.06604   -0.19041   -0.28656   -0.56026    0.09888   -0.43589   -0.12437   -0.22052    0.69968
  11     0.14748    0.06825   -0.07174   -0.55731    0.05817   -0.47807   -0.07923   -0.21923    0.78498
  12     0.14748    0.06825   -0.07192   -0.55731    0.05796   -0.47807   -0.07923   -0.21940    0.78547
  13     0.24560    0.43732    0.05534   -0.26217   -0.17613   -0.45389    0.19173   -0.19026    0.79683
  14     0.31230    0.51085    0.12439   -0.19645   -0.18008   -0.39500    0.19855   -0.18791    0.79981
  15     0.31230    0.51085    0.12453   -0.19645   -0.17984   -0.39500    0.19855   -0.18777    0.79724
  16     0.46812    0.69027    0.27967   -0.09483   -0.20480   -0.31698    0.22215   -0.18845    0.82108
  17     0.57809    0.81665    0.38877   -0.15626   -0.22188   -0.39482    0.23856   -0.18932    0.80123
  18     0.57809    0.81665    0.38942   -0.15626   -0.22120   -0.39482    0.23856   -0.18867    0.80740
  19     0.60400    0.84067    0.41350   -0.21004   -0.22147   -0.44672    0.23667   -0.19050    0.80184
  20     0.60622    0.85537    0.41996   -0.17510   -0.22836   -0.42424    0.24915   -0.18626    0.79001
 
k-point #     3:    0.000000    0.500000    0.500000    0.375000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10434   -3.83118   -3.62326   -2.45031    0.34373   -1.72348   -0.72684   -0.51892    0.82544
   6    -3.10434   -3.83118   -3.62511   -2.45031    0.34244   -1.72348   -0.72684   -0.52077    0.82748
   7    -3.10394   -3.83068   -3.65414   -2.45091    0.32592   -1.72417   -0.72674   -0.55020    0.86701
   8    -3.10394   -3.83068   -3.68622   -2.45091    0.31026   -1.72417   -0.72674   -0.58228    0.91145
   9    -0.09606   -0.24848   -0.31828   -0.62610    0.12609   -0.47368   -0.15242   -0.22222    0.74204
  10    -0.09606   -0.24848   -0.31808   -0.62610    0.12617   -0.47368   -0.15242   -0.22202    0.73670
  11     0.08612   -0.00070   -0.13007   -0.53955    0.06941   -0.45272   -0.08682   -0.21619    0.77539
  12     0.08612   -0.00070   -0.12984   -0.53955    0.06968   -0.45272   -0.08682   -0.21595    0.77393
  13     0.21365    0.39650    0.02611   -0.18630   -0.16416   -0.36915    0.18285   -0.18754    0.81062
  14     0.21365    0.39650    0.02614   -0.18630   -0.16414   -0.36915    0.18285   -0.18751    0.81117
  15     0.56149    0.82369    0.37345   -0.22531   -0.24373   -0.48751    0.26220   -0.18805    0.79263
  16     0.56149    0.82369    0.37287   -0.22531   -0.24456   -0.48751    0.26220   -0.18862    0.79732
  17     0.59351    0.82532    0.40226   -0.18079   -0.21748   -0.41260    0.23181   -0.19125    0.79819
  18     0.59351    0.82532    0.40219   -0.18079   -0.21757   -0.41260    0.23181   -0.19132    0.79780
  19     0.65079    0.90149    0.46766   -0.14046   -0.22647   -0.39116    0.25070   -0.18313    0.80718
  20     0.65079    0.90149    0.46696   -0.14046   -0.22722   -0.39116    0.25070   -0.18383    0.80307
 
