k-point #     1:    0.000000    0.000000    0.000000    0.125000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.83149   -3.63312   -2.44980    0.32688   -1.72297   -0.72684   -0.52847    0.81453
   6    -3.10403   -3.83081   -3.61836   -2.45078    0.33505   -1.72399   -0.72679   -0.51433    0.79555
   7    -3.10403   -3.83081   -3.61870   -2.45078    0.33493   -1.72399   -0.72679   -0.51467    0.79616
   8    -3.10403   -3.83081   -3.61420   -2.45078    0.33787   -1.72399   -0.72679   -0.51017    0.79061
   9    -0.24893   -0.46398   -0.46581   -0.66272    0.19530   -0.44767   -0.21505   -0.21688    0.71852
  10     0.19173    0.11603   -0.03117   -0.56464    0.05026   -0.48894   -0.07570   -0.22290    0.79437
  11     0.19173    0.11603   -0.03155   -0.56464    0.04974   -0.48894   -0.07570   -0.22328    0.79323
  12     0.19173    0.11603   -0.03149   -0.56464    0.04981   -0.48894   -0.07570   -0.22322    0.79286
  13     0.28440    0.47950    0.09496   -0.23035   -0.17822   -0.42545    0.19510   -0.18944    0.78443
  14     0.28440    0.47950    0.09519   -0.23035   -0.17794   -0.42545    0.19510   -0.18921    0.78540
  15     0.28440    0.47950    0.09528   -0.23035   -0.17788   -0.42545    0.19510   -0.18912    0.78765
  16     0.31353    0.53710    0.12017   -0.32122   -0.21126   -0.54479    0.22357   -0.19336    0.75793
  17     0.47465    0.69464    0.28850   -0.16458   -0.19938   -0.38458    0.22000   -0.18614    0.80256
  18     0.47465    0.69464    0.28853   -0.16458   -0.19935   -0.38458    0.22000   -0.18612    0.80249
  19     0.47518    0.68902    0.28695   -0.12683   -0.19674   -0.34067    0.21384   -0.18823    0.84531
  20     0.59981    0.84151    0.40730   -0.09210   -0.22900   -0.33380    0.24169   -0.19251    0.80155
 
k-point #     2:    0.000000    0.000000    0.500000    0.500000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10459   -3.83151   -3.63684   -2.44997    0.32336   -1.72304   -0.72693   -0.53225    0.81662
   6    -3.10409   -3.83084   -3.63703   -2.45066    0.32259   -1.72391   -0.72675   -0.53294    0.81713
   7    -3.10398   -3.83075   -3.61519   -2.45085    0.33585   -1.72408   -0.72677   -0.51121    0.78923
   8    -3.10398   -3.83075   -3.59681   -2.45085    0.34666   -1.72408   -0.72677   -0.49283    0.76330
   9    -0.16262   -0.34606   -0.38279   -0.65527    0.15894   -0.47182   -0.18344   -0.22017    0.71352
  10    -0.06604   -0.19041   -0.28726   -0.56026    0.09808   -0.43589   -0.12437   -0.22122    0.70500
  11     0.14748    0.06825   -0.07313   -0.55731    0.05643   -0.47807   -0.07923   -0.22061    0.78587
  12     0.14748    0.06825   -0.07301   -0.55731    0.05654   -0.47807   -0.07923   -0.22050    0.78465
  13     0.24560    0.43732    0.05432   -0.26217   -0.17740   -0.45389    0.19173   -0.19127    0.79678
  14     0.31230    0.51085    0.12358   -0.19645   -0.18095   -0.39500    0.19855   -0.18872    0.79327
  15     0.31230    0.51085    0.12405   -0.19645   -0.18060   -0.39500    0.19855   -0.18825    0.80425
  16     0.46812    0.69027    0.27933   -0.09483   -0.20523   -0.31698    0.22215   -0.18879    0.82138
  17     0.57809    0.81665    0.38820   -0.15626   -0.22251   -0.39482    0.23856   -0.18989    0.79731
  18     0.57809    0.81665    0.38903   -0.15626   -0.22163   -0.39482    0.23856   -0.18906    0.80484
  19     0.60400    0.84067    0.41201   -0.21004   -0.22329   -0.44672    0.23667   -0.19198    0.80010
  20     0.60622    0.85537    0.41900   -0.17510   -0.22942   -0.42424    0.24915   -0.18722    0.78409
 
k-point #     3:    0.000000    0.500000    0.500000    0.375000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10434   -3.83118   -3.63831   -2.45031    0.32247   -1.72348   -0.72684   -0.53396    0.81925
   6    -3.10434   -3.83118   -3.63689   -2.45031    0.32316   -1.72348   -0.72684   -0.53255    0.81713
   7    -3.10394   -3.83068   -3.62401   -2.45091    0.32860   -1.72417   -0.72674   -0.52008    0.79719
   8    -3.10394   -3.83068   -3.58833   -2.45091    0.34456   -1.72417   -0.72674   -0.48439    0.73710
   9    -0.09606   -0.24848   -0.31978   -0.62610    0.12410   -0.47368   -0.15242   -0.22372    0.74280
  10    -0.09606   -0.24848   -0.31902   -0.62610    0.12508   -0.47368   -0.15242   -0.22296    0.74171
  11     0.08612   -0.00070   -0.13134   -0.53955    0.06783   -0.45272   -0.08682   -0.21745    0.77732
  12     0.08612   -0.00070   -0.13079   -0.53955    0.06843   -0.45272   -0.08682   -0.21691    0.77330
  13     0.21365    0.39650    0.02567   -0.18630   -0.16471   -0.36915    0.18285   -0.18798    0.81073
  14     0.21365    0.39650    0.02560   -0.18630   -0.16480   -0.36915    0.18285   -0.18804    0.81132
  15     0.56149    0.82369    0.37023   -0.22531   -0.24801   -0.48751    0.26220   -0.19126    0.80566
  16     0.56149    0.82369    0.36821   -0.22531   -0.25104   -0.48751    0.26220   -0.19328    0.84284
  17     0.59351    0.82532    0.40134   -0.18079   -0.21860   -0.41260    0.23181   -0.19216    0.79615
  18     0.59351    0.82532    0.40125   -0.18079   -0.21874   -0.41260    0.23181   -0.19226    0.79743
  19     0.65079    0.90149    0.46317   -0.14046   -0.23098   -0.39116    0.25070   -0.18761    0.76437
  20     0.65079    0.90149    0.46347   -0.14046   -0.23072   -0.39116    0.25070   -0.18732    0.76916
 
